10000 10000
8997 2056 679
8589 7423 654
1089 6497 553
2306 7468 186
9912 3181 243
5747 6650 786
745 345 224
2466 2018 564
2617 4724 763
727 140 3
9416 8618 227
1108 1764 865
2362 1627 806
7826 9175 965
9304 1047 927
2324 8061 336
2790 8291 947
6554 9836 269
2936 7415 444
3215 5466 625
4003 9098 138
6500 2176 198
5289 8142 518
7514 4980 396
6624 5166 477
6092 1555 269
312 4798 62
7178 9306 353
6837 186 480
1813 2810 946
915 750 496
538 4395 477
9697 917 288
3232 4748 688
6491 7890 915
1662 6350 36
4511 5319 520
1985 4350 508
3669 5546 790
1234 9701 338
1379 9926 828
9465 6133 232
9292 5347 250
676 2133 230
5345 7865 42
7018 3732 807
7596 5980 449
3820 7293 877
3406 9003 960
23 5804 68
2623 9940 861
1221 233 436
316 389 89
742 6211 95
1818 3890 20
5743 9834 764
7260 1227 172
248 440 978
9088 5357 723
1772 4460 969
6563 7174 820
8146 515 343
4947 2445 38
5679 145 552
1535 3286 285
4388 4837 803
5262 2518 526
1973 5984 529
7421 2529 673
8997 9518 346
3490 7646 407
5036 2662 305
3043 6442 467
4621 1149 589
2482 5650 507
3170 3721 673
4125 9331 424
9994 4673 712
8914 7778 485
1375 4430 917
5155 7602 539
9122 8003 32
918 7407 593
272 742 589
167 6616 539
5483 419 966
2550 326 271
8107 5847 739
4327 1239 784
6512 5164 228
9047 6989 425
2643 8992 169
6143 1853 46
6129 8490 940
5314 1307 884
7194 5383 692
9396 4803 58
9345 9759 123
8197 9593 697
6930 9436 371
1824 7324 283
3963 9442 874
3573 384 354
3176 809 897
6910 5468 198
1209 222 652
2989 9359 194
7841 514 708
3039 1 163
7559 8999 13
3204 7783 898
1296 9821 395
9101 9877 734
8402 5158 392
9009 5928 916
3611 9847 603
261 2252 133
5281 547 101
279 9892 315
8038 2838 166
5228 1851 495
6317 2720 707
2656 38 126
519 4750 672
4285 2685 631
331 5814 382
5002 5457 660
7443 2897 649
7749 3095 320
8225 7669 192
4709 3812 272
6554 2123 92
6860 3366 451
8813 1108 693
3364 4906 236
8751 5560 574
2946 9103 666
9844 6157 26
59 100 829
4119 4990 270
703 3909 993
5278 642 863
951 894 74
1997 4237 276
8656 9752 723
3554 4850 12
5615 7094 632
9117 5526 420
4950 4599 233
8365 2046 411
8335 6901 719
5531 6592 313
9716 6158 213
6695 1729 931
393 8637 108
3536 4242 631
9514 7591 373
4538 4036 737
4771 7653 314
7039 2523 599
7265 2235 709
6749 7259 783
2218 3664 612
6585 1809 645
409 1602 207
847 8426 228
8396 1458 385
3114 9838 418
691 4209 841
3978 7847 536
4321 6977 61
4388 8604 719
11 9008 976
9617 454 246
1499 4960 923
1831 5492 346
7895 8680 405
7559 6888 773
3007 7979 669
2080 875 405
5637 6565 133
2182 1751 232
3368 3072 376
3291 6086 78
7124 6472 369
7509 1351 641
8582 7951 581
10 4014 218
777 3470 993
3443 3318 98
1462 837 320
3163 59 943
9881 7200 390
701 539 892
6762 5890 408
9089 6922 810
4624 4125 305
4889 9469 327
6431 464 854
1410 9759 734
4808 8546 418
9887 9182 237
6105 8437 459
4583 6847 641
7046 4996 497
1806 8991 166
877 5240 885
1263 2913 221
3243 6245 805
1773 5480 986
2071 7766 479
2428 4109 950
2460 1117 48
3394 1737 528
8106 7535 104
3364 2888 379
7444 7091 319
1456 8519 202
3245 1395 479
4583 6815 629
4069 1134 541
9266 9066 185
6917 7044 76
8473 41 110
3739 3270 49
8693 2828 342
4076 8259 75
9085 5467 991
398 317 223
4984 2006 466
6855 4217 226
4268 5716 58
7851 7410 414
6685 2909 805
2668 8406 120
6366 8644 648
6632 2716 663
9515 8195 654
5054 6091 918
694 9014 939
703 2334 675
4839 4289 784
7848 8348 637
7498 5795 675
4289 4050 319
7883 8238 486
