10000 100000
7769 9715 82
1903 4425 14
1876 6737 50
4012 9165 64
4630 1734 6
5680 5749 95
442 7207 26
9278 1982 3
4285 7721 4
6160 3247 51
2277 572 74
9308 5598 61
2162 5666 16
289 1594 33
8284 3913 74
3931 4366 10
7744 8037 77
5209 3125 52
3131 239 40
3569 6231 25
3031 2349 69
8618 1515 52
8323 6796 94
774 5966 52
1330 6888 16
4902 3209 95
6594 2023 24
7388 9516 62
2069 3582 96
1698 1035 12
6971 5193 24
2387 8907 94
5654 4778 12
4261 4701 7
9860 9070 11
5377 8299 29
6098 9736 58
9542 9125 43
2191 5096 33
4439 331 51
4740 3452 70
5433 3159 73
8609 6998 63
25 7343 93
2957 6454 70
7016 946 97
850 6361 94
1202 9415 49
5716 7345 56
3958 6838 98
3844 400 29
866 7864 49
3346 6631 23
6586 3565 37
2386 9065 50
1547 4754 26
9918 3021 48
7424 5639 30
860 8650 92
451 7549 98
2291 2441 67
9890 9076 72
3908 4462 51
3493 3601 24
1631 3238 26
5844 940 68
6573 5619 55
9902 1361 36
7129 4710 26
7201 9478 10
6035 3796 54
7952 4659 30
8991 4488 39
5575 3223 54
2751 9722 45
5071 1433 61
3880 7448 40
7511 8551 72
8782 7619 9
942 7106 65
6984 8114 57
8508 1431 59
5309 8799 27
7169 9621 54
2521 7501 13
2992 3157 68
5376 9172 56
9658 4719 10
8855 2988 22
748 8883 48
9396 4155 92
9965 2276 36
4803 6206 99
8528 392 36
8918 4558 30
5959 8674 94
8020 4153 2
3849 597 24
2945 5851 25
9687 9248 75
6407 2895 4
6722 5306 99
6977 5508 7
213 9664 4
197 4292 30
3473 3811 81
6106 6875 40
6378 4593 71
9970 2327 65
98 7826 9
1317 1199 89
7803 5247 75
9332 4054 29
6832 6175 41
1601 6415 49
8727 7326 34
3399 9050 21
8289 4258 21
6139 6374 86
9256 6841 35
9816 6466 2
1004 8011 9
5559 9537 28
1943 304 86
1706 5865 63
5591 5095 26
284 3374 62
9082 6563 89
3530 5623 53
678 7055 71
6960 9159 1
3131 5998 77
1423 7182 50
4942 664 24
2622 3259 100
2358 2085 60
3894 4573 30
2948 6528 81
5214 1527 86
672 9836 23
3333 2512 61
5189 3261 88
2348 3136 15
7358 8699 51
7731 2895 82
2628 9635 45
9622 5578 7
3689 3622 29
1842 343 72
8982 1993 27
5602 4756 72
993 109 20
2100 3161 65
4279 7894 53
1493 1634 41
2716 5587 56
221 2986 12
8661 2543 60
4968 5180 41
5721 4173 52
266 6111 74
9081 8363 100
6059 9831 6
9333 6910 26
5761 1122 3
5854 4579 96
7889 254 28
5983 7647 31
7478 8765 20
701 6720 66
7367 2370 77
646 3357 27
5947 7550 76
9848 211 81
3673 4166 9
2506 2688 13
878 1009 87
6165 1700 82
7978 7735 66
4185 7943 37
9471 1618 81
3481 8136 63
1960 1715 60
6875 3880 93
9879 1574 10
7434 8505 15
9840 6541 68
1709 5017 7
2459 3513 100
2335 3021 11
7667 3579 19
1846 3324 53
911 5617 55
985 9386 64
1902 8905 62
7999 1781 74
8464 7811 57
2798 4059 65
8006 84 40
8682 5834 49
9737 7805 96
4170 6891 2
1320 8951 56
8457 6579 57
6855 9914 14
513 7864 89
3171 943 26
733 5124 71
2422 3840 56
2457 8691 18
7664 8804 27
7550 3339 71
3769 1368 12
4294 6470 62
2617 3492 37
6074 3307 18
9739 1173 14
6475 9405 45
6411 346 41
5330 6619 72
2719 8981 45
5169 6002 30
523 8785 81
9622 4794 17
5161 5796 13
9077 6809 22
7176 322 12
1034 7093 100
4623 4071 32
3271 2869 38
43 4644 48
1971 9461 36
6451 3141 76
9014 5699 88
4413 3085 52
3622 3706 2
5763 3590 65
6657 6371 100
1830 7329 49
3257 8440 40
8085 8735 32
1628 9759 44
1336 1622 41
4840 6256 90
1072 9770 66
123 4655 91
2491 386 68
7981 8109 22
38 1886 78
3398 5245 2
5826 4533 59
2078 647 62
8721 5721 59
4056 6624 19
6910 6824 64
388 4977 9
883 4316 4
8890 9417 53
4420 6279 20
1778 5027 66
345 7160 52
8979 6896 65
4354 9792 71
2594 2351 27
7096 7568 78
9224 6550 85
6595 9082 58
6033 2267 72
4444 254 11
639 3851 30
6814 9076 39
5394 1201 76
3190 9417 12
7052 2989 30
8641 6181 79
9448 8116 68
9633 1029 68
4994 7810 60
6006 2971 92
3339 9630 21
8896 9329 55
4703 7988 45
1118 8482 82
179 4454 36
410 5237 56
6237 5482 35
8786 2226 61
4379 3801 64
7449 1003 28
6619 6892 36
568 267 41
1843 9941 71
881 7956 65
8862 9626 51
5494 58 24
7021 9431 93
2190 4798 97
3233 5869 11
590 6326 41
9077 9512 60
2553 9832 58
3903 223 4
8664 9464 88
6307 3292 85
9265 2460 68
2073 9550 35
4949 9643 1
5420 9827 52
2416 1162 92
